"","NS.Map.Value.code","X","ecoregion","system_name.x","SqKM_system_ecoregion","type.x","ELEMENT_GLOBAL_ID.x","ELCODE.x","ELSF_CD.x","BPS_area_system_sq_KM.x","percent_of_Total_Distribution","Level3","system_name.y","type.y","ELEMENT_GLOBAL_ID.y","ELCODE.y","ELSF_CD.y","BPS_area_system_sq_KM.y"
"19",7019,286,"Snake River Plain","Great_Basin_Pinyon_Juniper_Woodland",33.1128,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0015,"10.1.8","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"20",7019,298,"Southern and Baja California Pine-Oak Mountains","Great_Basin_Pinyon_Juniper_Woodland",356.3433,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0157,"11.1.3","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"21",7019,93,"Colorado Plateaus","Great_Basin_Pinyon_Juniper_Woodland",92.2752,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0041,"10.1.6","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"22",7019,44,"California Coastal Sage, Chaparral, and Oak Woodlands","Great_Basin_Pinyon_Juniper_Woodland",5.6376,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,2e-04,"11.1.1","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"23",7019,207,"Mojave Basin and Range","Great_Basin_Pinyon_Juniper_Woodland",2230.5618,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0981,"10.2.1","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"24",7019,17,"Arizona/New Mexico Plateau","Great_Basin_Pinyon_Juniper_Woodland",587.1042,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0258,"10.1.7","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"25",7019,6,"Arizona/New Mexico Mountains","Great_Basin_Pinyon_Juniper_Woodland",38.0295,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0017,"13.1.1","Great Basin Pinyon-Juniper Woodland","Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234
"26",7051,234,"Northern Basin and Range","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",26.1144,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0017,"10.1.3","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"27",7051,2,"Arizona/New Mexico Mountains","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",2503.1997,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.1616,"13.1.1","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"28",7051,253,"Northwestern Great Plains","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",3.2238,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,2e-04,"9.3.3","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"29",7051,321,"Southwestern Tablelands","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",36.3204,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0023,"9.4.3","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"30",7051,179,"Madrean Archipelago","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",46.4535,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.003,"12.1.1","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
