"","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3"
"67","Central California Valley",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",0.3564,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"11.1.2"
"68","Central Corn Belt Plains",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",17750.5668,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,0.1254,"8.2.3"
"69","Central Corn Belt Plains",7421,"Central_Tallgrass_Prairie",54324.4887,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.2248,"8.2.3"
"70","Central Corn Belt Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ",722966,"CES202.693",4119,83328.2964,7e-04,"8.2.3"
"71","Central Great Plains",7149,"Western_Great_Plains_Shortgrass_Prairie",2402.9541,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0093,"9.4.2"
"72","Central Great Plains",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",99.1845,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,7e-04,"9.4.2"
"73","Central Great Plains",7141,"Northwestern_Great_Plains_Mixedgrass_Prairie",13.1868,"Northwestern Great Plains Mixedgrass Prairie",722984,"CES303.674",7114,425532.0987,0,"9.4.2"
"74","Central Great Plains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",3.8151,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,1e-04,"9.4.2"
"75","Central Great Plains",7423,"Southeastern_Great_Plains_Tallgrass_Prairie",35095.0563,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.3249,"9.4.2"
"76","Central Great Plains",7421,"Central_Tallgrass_Prairie",15499.3986,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.0641,"9.4.2"
"77","Central Irregular Plains",7364,"Ozark_Ouachita_Dry_Oak_Woodland",367.9587,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0.0063,"9.2.4"
"78","Central Irregular Plains",7423,"Southeastern_Great_Plains_Tallgrass_Prairie",29774.5065,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.2756,"9.2.4"
"79","Central Irregular Plains",7421,"Central_Tallgrass_Prairie",33288.2055,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.1378,"9.2.4"
"80","Central Irregular Plains",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",7833.2022,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,0.0553,"9.2.4"
"81","Chihuahuan Desert",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",37.7217,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.001,"10.2.4"
"82","Chihuahuan Desert",7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",4.9248,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,3e-04,"10.2.4"
"83","Chihuahuan Desert",7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",3.8232,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.0012,"10.2.4"
"84","Chihuahuan Desert",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",0.3888,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0,"10.2.4"
"85","Chihuahuan Desert",7149,"Western_Great_Plains_Shortgrass_Prairie",365.8041,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0014,"10.2.4"
"86","Chihuahuan Desert",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",37.9728,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,4e-04,"10.2.4"
"87","Chihuahuan Desert",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",24.4134,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,1e-04,"10.2.4"
"88","Colorado Plateaus",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",699.4107,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.025,"10.1.6"
"89","Colorado Plateaus",7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",361.0494,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.0401,"10.1.6"
"90","Colorado Plateaus",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",2373.0003,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.061,"10.1.6"
"91","Colorado Plateaus",7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",0.8748,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0,"10.1.6"
"92","Colorado Plateaus",7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",2269.5795,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.1465,"10.1.6"
"93","Colorado Plateaus",7019,"Great_Basin_Pinyon_Juniper_Woodland",92.2752,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0041,"10.1.6"
"94","Colorado Plateaus",7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",17.01,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.0055,"10.1.6"
"95","Colorado Plateaus",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",8667.8262,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.0895,"10.1.6"
"96","Colorado Plateaus",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",25421.6151,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.09,"10.1.6"
"97","Colorado Plateaus",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",5005.6947,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.2515,"10.1.6"
"98","Colorado Plateaus",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",2262.33,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0265,"10.1.6"
"99","Colorado Plateaus",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",145.1358,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,8e-04,"10.1.6"
"100","Colorado Plateaus",7066,"Inter_Mountain_Basins_Mat_Saltbush_Shrubland",3289.248,"Inter Mountain Basins Mat Saltbush Shrubland",722889,"CES304.783",5203,10939.5846,0.3007,"10.1.6"
"101","Columbia Mountains/Northern Rockies",7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",3.6693,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,1e-04,"6.2.3"
