CEC_OID,Level1,Level2,Level3,Ecoreg_Name,Ecoreg_Short_Name
119,9,9.2,9.2.3,Western Corn Belt Plains,Western Corn Belt Plains
120,9,9.2,9.2.4,Central Irregular Plains,Central Irregular Plains
121,9,9.3,9.3.1,Northwestern Glaciated Plains,Northwestern Glaciated Plains
122,9,9.3,9.3.3,Northwestern Great Plains,Northwestern Great Plains
123,9,9.3,9.3.4,Nebraska Sand Hills,Nebraska Sand Hills
124,9,9.4,9.4.1,High Plains,High Plains
125,9,9.4,9.4.2,Central Great Plains,Central Great Plains
126,9,9.4,9.4.3,Southwestern Tablelands,Southwestern Tablelands
127,9,9.4,9.4.4,Flint Hills,Flint Hills
128,9,9.4,9.4.5,Cross Timbers,Cross Timbers
129,9,9.4,9.4.6,Edwards Plateau,Edwards Plateau
130,9,9.4,9.4.7,Texas Blackland Prairies,Texas Blackland Prairies
131,9,9.5,9.5.1,Western Gulf Coastal Plain,Western Gulf Coastal Plain
132,9,9.6,9.6.1,Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,Southern Texas Plains-Interior Plains & Hills
133,10,10.1,10.1.1,Thompson-Okanogan Plateau,Thompson-Okanogan Plateau
134,10,10.1,10.1.2,Columbia Plateau,Columbia Plateau
135,10,10.1,10.1.3,Northern Basin and Range,Northern Basin & Range
136,10,10.1,10.1.4,Wyoming Basin,Wyoming Basin
137,10,10.1,10.1.5,Central Basin and Range,Central Basin & Range
138,10,10.1,10.1.6,Colorado Plateaus,Colorado Plateaus
139,10,10.1,10.1.7,Arizona/New Mexico Plateau,Arizona-New Mexico Plateau
140,10,10.1,10.1.8,Snake River Plain,Snake River Plain
141,10,10.2,10.2.1,Mojave Basin and Range,Mojave Basin & Range
142,10,10.2,10.2.2,Sonoran Desert,Sonoran Desert
143,10,10.2,10.2.3,Baja Californian Desert,Baja Californian Desert
144,10,10.2,10.2.4,Chihuahuan Desert,Chihuahuan Desert
145,11,11.1,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands","California Coastal Sage, Chaparral, & Oak Woodlands"
146,11,11.1,11.1.2,Central California Valley,Central California Valley
147,11,11.1,11.1.3,Southern and Baja California Pine-Oak Mountains,Southern & Baja California Pine-Oak Mountains
148,12,12.1,12.1.1,Madrean Archipelago,Madrean Archipelago
149,12,12.1,12.1.2,"Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests",Piedmont & Plains (Mexico)
150,12,12.2,12.2.1,Hills and Interior Plains with Xeric Shrub and Mesquite  Low Forest,Hills & Interior Plains (Mexico)
151,13,13.1,13.1.1,Arizona/New Mexico Mountains,Arizona-New Mexico Mountains
