"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Columbia Plateau Western Juniper Woodland and Savanna","Blue Mountains",8.19,17.5,-0.262,NA,47.4,11.87,37.8,92.3,NA,NA,NA,13,37.3,NA,29.3,-5.98,NA,11.07,16.9,1.8,1.95,1.87,NA,-23.9,5.97,-26.6,-28.2,NA,NA,NA,0.468,2.49,NA,2.24,3.54,NA,4.63,3.25,1.61,1.73,1.61,NA,-37.1,2.82,-37.3,-28.2,NA,NA,NA,0.411,1.97,NA,1.94,3.16,NA,-4.61,2.2,2.05,2.26,2.31,NA,-16.3,12.36,-16.9,-28.2,NA,NA,NA,0.551,2.94,NA,2.65,3.99,NA,6.34,5.9,2.67,1.82,1.61,NA,-1.21,1.53,-1.51,-1.03,NA,NA,NA,1.09,1.04,NA,1.32,2.09,NA,1.08,1.19,100,9.07,18.14,0,100,100,0,6.31,26.5,100,100,0,51.7,68.7,90.7,0.115,0,0,0
"2","Columbia Plateau Western Juniper Woodland and Savanna","Cascades",9.12,17.8,1.61,NA,75.5,7.43,53.6,NA,NA,NA,NA,NA,38.2,NA,28.3,-3.18,NA,NA,17.7,1.91,2,1.73,NA,-38.1,3.14,-26.4,NA,NA,NA,NA,NA,2.65,NA,2.45,3.28,NA,NA,2.66,1.88,1.93,1.68,NA,-38.1,2.88,-27.9,NA,NA,NA,NA,NA,2.4,NA,2.41,3.08,NA,NA,2.13,1.96,2.07,1.79,NA,-38.1,3.39,-24.7,NA,NA,NA,NA,NA,2.82,NA,2.52,3.58,NA,NA,3.24,3.18,1.95,1.57,NA,-1.01,1.17,-1.14,NA,NA,NA,NA,NA,1.05,NA,1.48,2.53,NA,NA,1.71,100,1.33,6.39,0,100,100,0,0,67.1,100,100,0,33.7,83.3,75.3,0,0,0,0
"3","Columbia Plateau Western Juniper Woodland and Savanna","Central Basin and Range",4.98,13.5,-2.078,NA,NA,14.09,64.9,NA,NA,NA,NA,NA,41.6,NA,23.1,-8.24,NA,NA,13.5,2.07,1.93,2.24,NA,NA,12.94,-34.9,NA,NA,NA,NA,NA,3.58,NA,2.46,4.18,NA,NA,3.47,2.07,1.93,2.24,NA,NA,12.94,-34.9,NA,NA,NA,NA,NA,3.58,NA,2.46,4.18,NA,NA,3.47,2.07,1.93,2.24,NA,NA,12.94,-34.9,NA,NA,NA,NA,NA,3.58,NA,2.46,4.18,NA,NA,3.47,2.95,1.69,1.73,NA,NA,3.76,-1.38,NA,NA,NA,NA,NA,1.33,NA,1.54,2.47,NA,NA,1.06,100,0,100,0,100,100,0,0,100,100,100,0,0,100,100,0,0,0,0
"4","Columbia Plateau Western Juniper Woodland and Savanna","Columbia Plateau",9.58,18.7,1.087,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,30.1,-3.95,NA,NA,NA,1.62,1.74,1.6,NA,NA,NA,-27.1,NA,NA,NA,NA,NA,NA,NA,2.03,3.28,NA,NA,NA,1.62,1.7,1.59,NA,NA,NA,-27.3,NA,NA,NA,NA,NA,NA,NA,2.01,3.25,NA,NA,NA,1.63,1.75,1.61,NA,NA,NA,-27,NA,NA,NA,NA,NA,NA,NA,2.05,3.3,NA,NA,NA,2.34,1.74,1.35,NA,NA,NA,-1.23,NA,NA,NA,NA,NA,NA,NA,1.27,1.74,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,0
"5","Columbia Plateau Western Juniper Woodland and Savanna","Eastern Cascades Slopes and Foothills",8.37,17.6,0.217,NA,65.4,7.8,50.4,NA,NA,NA,NA,13.7,39.4,NA,29.2,-5.75,NA,NA,17.5,2.03,2.09,1.99,NA,-35.4,4.54,-26.9,NA,NA,NA,NA,0.534,2.58,NA,2.46,3.44,NA,NA,2.77,1.62,1.7,1.61,NA,-62.5,2.19,-36.3,NA,NA,NA,NA,0.516,2.31,NA,2.01,2.6,NA,NA,2.13,2.11,2.26,2.14,NA,-23.7,9.53,-20.1,NA,NA,NA,NA,0.583,2.9,NA,2.59,4.02,NA,NA,4.74,3.27,1.92,1.77,NA,-1.11,1.45,-1.28,NA,NA,NA,NA,1.02,1.05,NA,1.41,2.53,NA,NA,1.51,100,1.36,5.93,0,100,100,0,0,66.4,100,100,0,34.2,84.6,76.5,0,0,0,0
"6","Columbia Plateau Western Juniper Woodland and Savanna","Klamath Mountains",10.54,19.5,2.745,NA,NA,9.23,NA,NA,NA,NA,NA,13.4,37.6,NA,30.1,-2.26,NA,NA,19.4,1.85,1.93,1.68,NA,NA,4.09,NA,NA,NA,NA,NA,0.521,2.66,NA,2.36,3.19,NA,NA,2.82,1.8,1.83,1.58,NA,NA,2.53,NA,NA,NA,NA,NA,0.514,2.41,NA,2.3,3,NA,NA,1.97,1.89,2.02,1.78,NA,NA,5.73,NA,NA,NA,NA,NA,0.526,2.94,NA,2.43,3.44,NA,NA,4.95,3.07,1.95,1.58,NA,NA,1.32,NA,NA,NA,NA,NA,1.01,1.08,NA,1.51,2.56,NA,NA,1.67,100,20.31,39.06,0,100,100,0,0,100,100,100,0,0,64.1,0,0,0,0,0
"7","Columbia Plateau Western Juniper Woodland and Savanna","Northern Basin and Range",7.72,17.6,-1.092,NA,45.6,10.62,41.3,79.4,54,NA,NA,NA,35.9,NA,29.2,-6.97,NA,7.11,16.8,2.02,2.13,2.14,NA,-24.5,6.11,-28.5,-28,19.6,NA,NA,NA,2.4,NA,2.46,3.68,NA,-2.07,3.95,1.79,1.91,1.82,NA,-50.6,3.3,-43.1,-28,19,NA,NA,NA,2.06,NA,2.19,2.79,NA,-5.19,2.48,2.3,2.49,2.64,NA,-14.3,12.98,-19,-28,20.6,NA,NA,NA,2.76,NA,2.73,4.77,NA,5.44,6.52,3.11,1.81,1.86,NA,-1.21,1.73,-1.55,-1.01,1.07,NA,NA,NA,1.06,NA,1.4,2.43,NA,-0.4,1.2,100,0,28.33,0,100,100,0,1.28,25.3,100,100,0,49.2,80.1,96.5,0.128,0.385,0,0
"8","Columbia Plateau Western Juniper Woodland and Savanna","Sierra Nevada",8.86,17.5,1.273,NA,92,8.58,59.9,NA,NA,NA,NA,NA,44.6,NA,28.7,-4.85,NA,NA,17.4,1.95,1.97,1.79,NA,-52.5,4.51,-22.9,NA,NA,NA,NA,NA,3.01,NA,2.35,3.37,NA,NA,2.3,1.93,1.91,1.69,NA,-52.5,3.62,-22.9,NA,NA,NA,NA,NA,3.01,NA,2.32,3.22,NA,NA,2.14,1.98,1.99,1.98,NA,-52.5,5.39,-22.9,NA,NA,NA,NA,NA,3.01,NA,2.37,3.58,NA,NA,2.64,3.48,1.93,1.72,NA,-1.13,1.37,-1.03,NA,NA,NA,NA,NA,1.17,NA,1.42,2.6,NA,NA,1.86,100,0,20,0,100,100,0,0,100,100,100,0,20,40,20,0,0,0,0
"9","Columbia Plateau Western Juniper Woodland and Savanna","Snake River Plain",10.13,21.7,-1.146,NA,NA,12.93,47,NA,NA,NA,NA,12.6,NA,NA,32.4,-6.47,NA,NA,21.2,2.05,2.27,2.25,NA,NA,9.06,-22.6,NA,NA,NA,NA,0.438,NA,NA,2.65,3.74,NA,NA,3.95,2.05,2.26,2.25,NA,NA,8.48,-22.8,NA,NA,NA,NA,0.438,NA,NA,2.65,3.73,NA,NA,3.86,2.05,2.27,2.26,NA,NA,9.64,-22.3,NA,NA,NA,NA,0.439,NA,NA,2.65,3.76,NA,NA,4.03,2.85,1.86,1.96,NA,NA,2.45,-1.28,NA,NA,NA,NA,1.15,NA,NA,1.6,2.02,NA,NA,1.12,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,0,0,0,0
